apartmentRent; apartmentBuy; houseRent;houseBuy;livingRentSite;livingBuySite;garageRent;garageBuy;office;store;gastronomy;industry;tradeSite;specialPurpose;investment;FlatShareRoom;houseType;compulsoryAuction;assistedLiving;seniorCare;shortTermAccomodation
externalId; externalId; externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId
title; title; title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title
street; street; street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street
houseNumber; houseNumber; houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber
postcode; postcode; postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode
city; city; city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city
searchField1, 2, 3; searchField1, 2, 3; searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, searchField2, searchField3;showAddress;showAddress;searchField1, searchField2, searchField3;searchField1, searchField2, searchField3;searchField1, searchField2, searchField3;searchField1
groupNumber; groupNumber; groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;roomSize;roomSize;groupNumber;groupNumber;groupNumber;searchField2
descriptionNote; descriptionNote; descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;Bodenbelag;Bodenbelag;descriptionNote;descriptionNote;descriptionNote;searchField3
furnishingNote; furnishingNote; furnishingNote;furnishingNote;;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;numberOfRooms;numberOfRooms;furnishingNote;furnishingNote;furnishingNote;groupNumber
locationNote; locationNote; locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;apartmentType;apartmentType;locationNote;locationNote;locationNote;descriptionNote
otherNote; otherNote; otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;cellar;cellar;otherNote;otherNote;otherNote;furnishingNote
showAddress; showAddress; showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;heatingType;heatingType;showAddress;showAddress;showAddress;locationNote
contact id; contact id; contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contactId;heatingTypeEnev2014;heatingTypeEnev2014;contact id;contact id;contact id;otherNote
apartmentType; apartmentType; ;lodgerFlat;;;;value;value;value;value;industryType;commercializationType;specialPurposePropertyType;value;barrierFree;barrierFree;marketValue;shortDescription;shortDescription;showAddress
floor; floor; ;constructionPhase;;;;currency;currency;currency;currency;plotArea;recommendedUseTypes;plotArea;currency;courtage;courtage;lowestBid;petsAllowed;petsAllowed;contact id
lift; lift; ;buildingType;;;buildingType;usableFloorSpace;usableFloorSpace;usableFloorSpace;usableFloorSpace;hallHeight;utilizationTradeSite;listed;industrialArea;energyCertificate;energyCertificate;recurrenceAppointment;constructionYear;trialLivingPossible;baseRent
cellar; cellar; cellar;cellar;;;cellar;hasCourtage;hasCourtage;hasCourtage;hasCourtage;flooringType;tenancy;lift;plotArea;energySourcesEnev2014;energySourcesEnev2014;dateOfAuction;constructionYearUnknown;careTypes;cellar
handicappedAccessible; handicappedAccessible; handicappedAccessible;handicappedAccessible;handicappedAccessible;handicappedAccessible;handicappedAccessible;courtage;courtage;courtage;courtage;ramp;value;basement;netFloorSpace;buildingEnergyRatingType;buildingEnergyRatingType;lastChangeDate;trialLivingPossible;careLevel;condition
numberOfParkingSpaces; numberOfParkingSpaces; numberOfParkingSpaces;numberOfParkingSpaces;numberOfParkingSpaces;numberOfParkingSpaces;numberOfParkingSpaces;courtageNote;courtageNote;courtageNote;courtageNote;lift;currency;flooringType;investmentType;thermalCharacteristic;thermalCharacteristic;cancellationDate;marketingType;price;constructionYear
condition; condition; condition;condition;condition;condition;condition;garageType;officeType;storeType;gastronomyType;autoLift;MarketingType;deposit;hasCourtage;energyConsumptionContainsWarmWater;energyConsumptionContainsWarmWater;recordationDate;facilityType;numberOfBeds;constructionYearUnknown
constructionYear; constructionYear; constructionYear;constructionYear;constructionYear;constructionYear;constructionYear;constructionYear;constructionYear;constructionYear;constructionYear;goodsLift;plotArea;commercializationType;courtage;constructionYear;constructionYear;area;minBaseRent;opening;deposit
constructionYearUnknown; constructionYearUnknown; constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;constructionYearUnknown;goodsLiftLoad;minDivisible;value;courtageNote;constructionYearUnknown;constructionYearUnknown;auctionObjectType;minPurchasePrice;careOfDementia;startRentalDate
lastRefurbishment; lastRefurbishment; lastRefurbishment;lastRefurbishment;lastRefurbishment;lastRefurbishment;lastRefurbishment;lengthGarage;lift;lift;lift;craneRunway;hasCourtage;currency;totalFloorSpace;baseRent;baseRent;constructionYear;roomAvailableFrom;careOfArtificialRespiration;endRentalDate
interiorQuality; interiorQuality; interiorQuality;interiorQuality;interiorQuality;interiorQuality;interiorQuality;widthGarage;cellar;cellar;cellar;craneRunwayLoad;courtage;marketingType;livingSpace;totalRent;totalRent;constructionYearUnknown;roomAvailableTo;careOfComaVigil;BuildingEnergyRatingType
freeFrom; freeFrom; freeFrom;freeFrom;freeFrom;freeFrom;freeFrom;heightGarage;handicappedAccessible;goodsLift;terrace;connectedLoad;courtageNote;totalFloorSpace;pricePerSQM;serviceCharge;serviceCharge;countyCourt;cookingPossibility;careOfStroke;thermalCharacteristic
heatingType; heatingType; heatingType;heatingType;heatingType;heatingType;;condition;flooringType;goodsLiftLoad;numberSeats;floorLoad;freeFrom;netFloorSpace;priceMultiplier;deposit;deposit;fileReferenceAtCountyCourt;parkingAvailable;careOfParkinson;energyConsumptionContainsWarmWater
firingType; firingType; firingType;firingType;firingType;firingType;;lastRefurbishment;deposit;floorLoad;numberBeds;deposit;shortTermConstructible;minDivisible;rentalIncomeActual;heatingCosts;heatingCosts;number of folio;commonRoomsAvailable;careOfAlzheimer;firingType
BuildingEnergyRatingType; BuildingEnergyRatingType; BuildingEnergyRatingType;BuildingEnergyRatingType;BuildingEnergyRatingType;BuildingEnergyRatingType;;creationDate;hasCanteen;ramp;deposit;commercializationType;buildingPermission;hasCourtage;rentalIncomeTarget;heatingCostsInServiceCharge;heatingCostsInServiceCharge;splittingAuction;gardenAvailable;careOfMultipleSclerosis;floor
thermalCharacteristic; thermalCharacteristic; thermalCharacteristic;thermalCharacteristic;thermalCharacteristic;thermalCharacteristic;;LastModificationDate;lanCables;supplyType;commercializationType;value;demolition;courtage;otherCosts;calculatedTotalRent;calculatedTotalRent;owner;fitnessAvailable;kitchenAvailable;gender
energyConsumptionContainsWarmWater; energyConsumptionContainsWarmWater; energyConsumptionContainsWarmWater;energyConsumptionContainsWarmWater;energyConsumptionContainsWarmWater;energyConsumptionContainsWarmWater;;latitude;highVoltage;flooringType;marketingType;currency;siteDevelopmentType;courtageNote;listed;calculatedTotalRentScope;calculatedTotalRentScope;latitude;poolAvailable;roomType;guestToilet
numberOfFloors; numberOfFloors; numberOfFloors;numberOfFloors;numberOfFloors;numberOfFloors;;longitude;kitchenComplete;commercializationType;totalFloorSpace;marketingType;siteConstructibleType;distanceToMRS;lift;freeFrom;freeFrom;longitude;publicTransportationAvailable;therapyOfferingsAvailable;handicappedAccessible
usableFloorSpace; usableFloorSpace; usableFloorSpace;usableFloorSpace;usableFloorSpace;usableFloorSpace;usableFloorSpace;;listed;value;netFloorSpace;totalFloorSpace;grz;distanceToFM;distanceToMRS;freeUntil;freeUntil;energyPerformanceCertificate;ambulantNursingServiceAvailable;barrierFree;hasFurniture
numberOfBedRooms; numberOfBedRooms; numberOfBedRooms;numberOfBedRooms;numberOfBedRooms;numberOfBedRooms;;;airConditioning;currency;hasCourtage;netFloorSpace;gfz;distanceToPT;distanceToFM;minimumTermOfLease;minimumTermOfLease;creationDate;emergencyCallInRoomAvailable;numberOfLookedAfterApartments;heatingType
numberOfBathRooms; numberOfBathRooms; numberOfBathRooms;numberOfBathRooms;numberOfBathRooms;numberOfBathRooms;;;distanceToMRS;marketingType;courtage;minDivisible;creationDate;distanceToAirport;distanceToPT;totalSpace;totalSpace;LastModificationDate;receptionManned;numberOfNursingPlaces;lift
guestToilet; guestToilet; guestToilet;guestToilet;guestToilet;guestToilet;;;distanceToFM;totalFloorSpace;courtageNote;hasCourtage;LastModificationDate;condition;distanceToAirport;numberOfMaleFlatMates;numberOfMaleFlatMates;marketingType;medicalAssistanceAvailable;livingSpaceFrom;maxNumberOfPersons
useAsFlatshareRoom; useAsFlatshareRoom; useAsFlatshareRoom;parkingSpaceType;parkingSpaceType;parkingSpaceType;parkingSpaceType;;distanceToPT;netFloorSpace;distanceToMRS;courtage;latitude;constructionYear;condition;numberOfFemaleFlatMates;numberOfFemaleFlatMates;priceIntervalType;homeHelpAvailable;livingSpaceTo;maxRentalTime
parkingSpaceType; parkingSpaceType; parkingSpaceType;rented;;;;;distanceToAirport;minDivisible;distanceToFM;courtageNote;longitude;constructionYearUnknown;constructionYear;ageOfFlatMatesFrom;ageOfFlatMatesFrom;cellar;counselingAvailable;handicappedAccessible;minRentalTime
baseRent; ; baseRent;rentalIncome;;;;;condition;hasCourtage;distanceToPT;distanceToMRS;priceIntervalType;numberOfParkingSpaces;constructionYearUnknown;ageOfFlatMatesTo;ageOfFlatMatesTo;numberOfRooms;loansAvailable;guestApartmentsAvailable;numberOfFloors
totalRent; ; totalRent;listed;;;;;constructionYear;courtage;distanceToAirport;distanceToFM;leaseInterval;parkingSpacePrice;lastRefurbishment;ageOfRequestedFrom;ageOfRequestedFrom;balcony;barrierFree;restaurantAvailable;numberOfParkingSpaces
serviceCharge; serviceCharge; serviceCharge;parkingSpacePrice;parkingSpacePrice;parkingSpacePrice;parkingSpacePrice;;constructionYearUnknown;courtageNote;condition;distanceToPT;;lastRefurbishment;interiorQuality;ageOfRequestedTo;ageOfRequestedTo;builtInKitchen;numberOfLookedAfterApartments;cookingFacilitiesAvailable;ParkingSpacePrice
deposit; ; deposit;summerResidencePractical;;;;;numberOfParkingSpaces;distanceToMRS;constructionYear;distanceToAirport;;interiorQuality;freeFrom;numberOfRequestedFlatMates;numberOfRequestedFlatMates;guestToilet;numberOfNursingPlaces;ownFurniturePossible;petsAllowed
heatingCosts; ; heatingCosts;value;value;value;value;;parkingSpacePrice;distanceToFM;constructionYearUnknown;condition;;freeFrom;heatingType;floor;floor;lastRefurbishment;livingSpaceFrom;cleaningServiceAvailable;serviceCharge
heatingCostsInServiceCharge; ; heatingCostsInServiceCharge;currency;currency;currency;currency;;lastRefurbishment;distanceToPT;numberOfParkingSpaces;constructionYear;;heatingType;firingType;numberOfFloors;numberOfFloors;numberOfBathRooms;livingSpaceTo;shoppingFacilitiesAvailable;totalRent
petsAllowed; ; petsAllowed;livingSpace;;;livingSpace;;interiorQuality;distanceToAirport;parkingSpacePrice;constructionYearUnknown;;firingType;BuildingEnergyRatingType;numberOfBathRooms;numberOfBathRooms;numberOfFloors;handicappedAccessible;security24Hours;livingSpace
parkingSpacePrice; parkingSpacePrice; parkingSpacePrice;plotArea;plotArea;plotArea;;;freeFrom;condition;lastRefurbishment;numberOfParkingSpaces;;BuildingEnergyRatingType;thermalCharacteristic;balcony;balcony;numberOfParkingSpaces;guestApartmentsAvailable;culturalProgramAvailable;numberOfRooms
livingSpace; livingSpace; livingSpace;numberOfRooms;numberOfRooms;numberOfRooms;;;heatingType;constructionYear;interiorQuality;parkingSpacePrice;;thermalCharacteristic;energyConsumptionContainsWarmWater;garden;garden;parkingSpacePrice;restaurantAvailable;leisureActivitiesAvailable;balcony
numberOfRooms; numberOfRooms; numberOfRooms;hasCourtage;hasCourtage;hasCourtage;hasCourtage;;firingType;constructionYearUnknown;freeFrom;lastRefurbishment;;energyConsumptionContainsWarmWater;additionalArea;lift;lift;parkingSpaceType;ownFurniturePossible;religiousOfferingsAvailable;garten
builtInKitchen; builtInKitchen; builtInKitchen;courtage;courtage;courtage;courtage;;BuildingEnergyRatingType;numberOfParkingSpaces;heatingType;interiorQuality;;additionalArea;numberOfFloors;oven;oven;floor;cleaningServiceAvailable;balconyAvailable;nonSmoker
balcony; balcony; balcony;courtageNote;courtageNote;courtageNote;courtageNote;;thermalCharacteristic;parkingSpacePrice;firingType;freeFrom;;numberOfFloors;additionalCosts;refrigerator;refrigerator;;shoppingFacilitiesAvailable,;;shortTermAccomodationType
certificateOfEligibilityNeeded; ; ;latitude;latitude;latitude;latitude;;energyConsumptionContainsWarmWater;lastRefurbishment;BuildingEnergyRatingType;heatingType;;additionalCosts;energyPerformanceCertificate;stove;stove;;security24Hours,;;hasCourtage
garden; garden; garden;longitude;longitude;longitude;longitude;;numberOfFloors;interiorQuality;thermalCharacteristic;firingType;;creationDate;priceIntervalType;dishwasher;dishwasher;;culturalProgramAvailable,;;courtage
hasCourtage; hasCourtage; hasCourtage;creationDate;creationDate;creationDate;creationDate;;additionalCosts;freeFrom;energyConsumptionContainsWarmWater;BuildingEnergyRatingType;;LastModificationDate;;washingMachine;washingMachine;;leisureActivitiesAvailable,;;courtageNote
courtage; courtage; courtage;LastModificationDate;LastModificationDate;LastModificationDate;LastModificationDate;;commercializationType;heatingType;additionalArea;thermalCharacteristic;;latitude;;bathHasWc;bathHasWc;;religiousOfferingsAvailable,;;latitude
courtageNote; courtageNote; courtageNote;marketingType;marketingType;marketingType;;;marketingType;firingType;numberOfFloors;energyConsumptionContainsWarmWater;;longitude;;bathHasShower;bathHasShower;;balconyAvailable,;;longitude
latitude; latitude; latitude;priceIntervalType;priceIntervalType;priceIntervalType;;;additionalServicesIncluded;BuildingEnergyRatingType;additionalCosts;additionalArea;;;;;bathHasTub;;;;MarketingType
longitude; longitude; longitude;energyPerformanceCertificate;;;;;netFloorSpace;thermalCharacteristic;priceIntervalType;numberOfFloors;;;;;guestToilet;;;;priceIntervalType
creationDate; creationDate; creationDate;commercializationType;commercializationType;commercializationType;;;totalFloorSpace;energyConsumptionContainsWarmWater;;additionalCosts;;;;;petsAllowed;;;;
LastModificationDate; LastModificationDate; LastModificationDate;recommendedUseTypes;recommendedUseTypes;recommendedUseTypes;;;minDivisible;numberOfFloors;;priceIntervalType;;;;;internetConnection;;;;
energyPerformanceCertificate; energyPerformanceCertificate; energyPerformanceCertificate;tenancy;tenancy;tenancy;;;hasCourtage;additionalCosts;;;;;;;smokingAllowed;;;;
id; ; ;minDivisible;minDivisible;minDivisible;;;courtage;commercializationType;;;;;;;requestedGender;;;;
; rented; ;shortTermConstructible;shortTermConstructible;shortTermConstructible;;;creationDate;marketingType;;;;;;;furnishing;;;;
; rentalIncome; ;buildingPermission;buildingPermission;buildingPermission;;;LastModificationDate;additionalServicesIncluded;;;;;;;tvConnection;;;;
; listed; ;demolition;demolition;demolition;;;latitude;netFloorSpace;;;;;;;telephoneConnection;;;;
; summerResidencePractical; ;siteDevelopmentType;siteDevelopmentType;siteDevelopmentType;;;longitude;totalFloorSpace;;;;;;;parkingSituation;;;;
; value; ;siteConstructibleType;siteConstructibleType;siteConstructibleType;;;priceIntervalType;minDivisible;;;;;;;flatShareSize;;;;
; currency; ;grz;grz;grz;;;officeRentDurations;hasCourtage;;;;;;;;;;;
; marketingType; ;gfz;gfz;gfz;;;;courtage;;;;;;;;;;;
; priceIntervalType; ;leaseInterval;;;;;;creationDate;;;;;;;;;;;
; ; plotArea;additionalCosts;;;additionalCosts;;;LastModificationDate;;;;;;;;;;;
; ; buildingType;freeUntil;;;freeUntil;;;latitude;;;;;;;;;;;
;;;garageType;;;garageType;;;longitude;;;;;;;;;;;
;;;lengthGarage;;;lengthGarage;;;priceIntervalType;;;;;;;;;;;
;;;widthGarage;;;widthGarage;;;;;;;;;;;;;;
;;;heightGarage;;;heightGarage;;;;;;;;;;;;;;